Ligne (ID);Ligne (nom court);Date de début de validité;Résolution;Image
0158;KL;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9712bf7cf7eec7e927a83e26c687d0c2
0152;152ex;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/dab467ee3016ce8acb01ff8d31dd486e
0153;153ex;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1862dff670831f9bd04209d04cdb8312
0168;168ex;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8518a2c87506c7e74dd86e3b625104ec
0213;213;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/6288be9009e464d9f0095471cb4b0d90
0222;222;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/c869d6a30ee76d651613556b227f568a
0223;223;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b32aa95db2194647c74aee5dc7aac259
0226;226;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3ccd896e765c41272d350b6817d1d53e
0408;Ts8;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/6cc16a0cf3b80ab446cdca8737c845da
0409;Ts9;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a2a1a92a7439476a4930531d20f17738
0443;Ts43;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/6e12750d1842f5bb236aee163360ec95
0446;Ts46;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/078302d2b4fb3decf329089d60d7e738
0451;Ts51;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/247792030d9b50c63c2f28e15518f17a
0452;Ts52;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/151661cf2c9cd9fbcfb95aa28c4bbc27
0471;Ts71;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0583bb7b5bf7b66f43c60de8ac90deb5
0475;Ts75;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/01dae8f3a3888a9c24ec1d334c7264b9
0481;Ts81;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a4b8da1810586f32df11b98f84621a59
0804;TTZ;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/e5be4e3409868c5411920de0360c3361
0009;9;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/051217ddfa72b298891ed0cf10095d37
