Libellé long
Saint-Grégoire (Champ Daguet) -> Rennes (Haut Sancé)
Rennes (Saint-Laurent) -> Rennes (Henri Fréville)
Cesson-Sévigné (Rigourdière) -> Rennes -> Saint-Jacques-de-la-Lande (Morinais)
Saint-Jacques-de-la-Lande (Morinais) -> Rennes -> Cesson-Sévigné (Rigourdière)
Rennes (Jardin Moderne) -> Rennes (République)
Vezin-le-Coquet (ZI Ouest) -> Rennes (La Poterie)
Saint-Grégoire (Grand Quartier) -> Rennes (La Poterie)
Rennes (Bréquigny Piscine) -> Rennes (Cleunay)
Cesson-Sévigné (Champs Blancs) -> Cesson-Sévigné (Cesson Gare)
Rennes (Place Hoche) -> Saint-Grégoire (Edonia)
Rennes (Henri Fréville) -> Saint-Jacques-de-la-Lande (Morinais)
Rennes (Moulin de Joué) -> Thorigné-Fouillard (Landelles)
La Chapelle-des-Fougeretz (Besneraie) -> Rennes (Villejean-Université)
Rennes (République) -> Montgermont -> La Chapelle-des-Fougeretz -> Gévezé (Cheval Blanc)
Saint-Gilles (Ile des Bois) -> Pacé -> Rennes -> Montgermont -> La Chapelle-des-Fougeretz (Besneraie)
Rennes (Colin) -> Rennes (République)
La Chapelle-Thouarault (Ville aux Archers) ->  L'Hermitage -> Vezin-le-Coquet -> Rennes (République)
Mordelles (Mordelles Pâtis) -> Rennes (Charles de Gaulle)
Rennes (République) -> Saint-Jacques-de-la-Lande -> Bruz (Bruz Centre) via Porte de Ker-Lann
Rennes (Henri Fréville) -> Noyal-Châtillon-sur-Seiche -> Saint-Erblon -> Orgères -> Bourgbarré (Centre de Loisirs)
Bourgbarré (Centre de Loisirs) -> Orgères -> Saint-Erblon -> Noyal-Châtillon-sur-Seiche -> Rennes (Henri Fréville)
Rennes (République) -> Brécé (Anjou) via Cesson Gare
Rennes (République) -> Brécé (Anjou) via Champelé
Chevaigné (Pommiers) -> Rennes (Place Hoche)
Corps-Nuds (Corps-Nuds Gare) -> Saint-Armel -> Vern-sur-Seiche -> Rennes (La Poterie) via Champ Martin
Rennes (Villejean-Université) -> Saint-Grégoire -> Betton (Betton Centre)
Rennes (Henri Fréville) -> Laillé (Gingouillère)
Laillé (Gingouillère) -> Rennes (Henri Fréville)
Vern-sur-Seiche (Croix Malinge) -> Rennes (La Poterie)
Corps-Nuds (Corps-Nuds Gare) -> Saint-Armel -> Vern-sur-Seiche -> Rennes (La Poterie)
Parthenay-de-Bretagne (Parthenay Fontaine) -> Pacé (Pacé Cimetière)
Parthenay-de-Bretagne (Parthenay Fontaine) -> Pacé -> Rennes (Villejean-Université)
Rennes (Henri Fréville) -> Chartres-de-Bretagne -> Pont-Péan -> Laillé (Gingouillère)
Corps-Nuds (Corps-Nuds Gare) -> Saint-Armel -> Vern-sur-Seiche -> Rennes (La Poterie)
Pont-Péan (Bois Esnault) -> Rennes (Henri Fréville)
Cesson-Sévigné (Rigourdière) -> Rennes (République)
Betton (Champ Devant) -> Chevaigné (Pommiers)
Saint-Grégoire (Jean-Paul II) -> Betton -> Chevaigné (Pommiers) via Haye Renaud Gare
La Chapelle-des-Fougeretz (Besneraie) -> Saint-Grégoire (Jean-Paul II)
Saint-Grégoire (Jean-Paul II) -> Pacé (Pie Neuve)
Montgermont (Montgermont Mairie) -> Pacé (Centre scolaire Pacé)
La Chapelle-des-Fougeretz (Besneraie) -> Pacé (Centre scolaire Pacé)
Pacé (Centre scolaire Pacé) -> Vezin-le-Coquet (Lion d'Or)
Rennes (Lycée Mendès France) -> Montgermont -> La Chapelle-des-Fougeretz (Besneraie)
Orgères (L'Hermitière Village) -> Pont-Péan (Mouton Blanc)
Pacé (Centre scolaire Pacé) -> Parthenay-de-Bretagne (Parthenay Fontaine)
Pacé (Centre scolaire Pacé) -> Parthenay-de-Bretagne -> Clayes (Clayes Centre)
Clayes (Clairville) -> Parthenay-de-Bretagne -> Pacé (Centre scolaire Pacé)
Chavagne (Croix Blanche) -> Le Rheu (Lycée Monod)
Le Rheu (Lycée Monod) -> La Chapelle-Thouarault (Ville aux Archers)
Le Rheu (Lycée Monod) -> Mordelles (Mordelles Pâtis)
Mordelles (Collège St-Yves) -> Chavagne (Croix Blanche)
Bruz (Anita Conti) -> Bourgbarré (La Fretais)
Bourgbarré (Sept Fours) -> Bruz (Aire du 8 Mai)
Mordelles (Mordelles Pâtis) -> Bruz (Brossolette)
Bruz (Anita Conti) -> Laillé (Gripay)
Laillé (Le Cleux) -> Bruz (Anita Conti)
Bruz (Aire du 8 Mai) -> Chartres-de-Bretagne (Vieux Bourg)
La Chapelle-Thouarault (Eglise) -> Mordelles (Collège St-Yves)
Pacé (Centre scolaire Pacé) -> Pacé (Bas Sommier)
Orgères (Collège Récipon) -> Laillé (Gripay)
Laillé (Couais) -> Orgères (Collège Récipon)
Chartres-de-Bretagne (Collège Pôle Sud) -> Saint-Erblon (Leuzières)
Rennes (Kennedy Guyenne) -> Vezin-le-Coquet (Vallée)
Vezin-le-Coquet (Vallée) -> Rennes (Collège Rosa-Parks)
Bruz (Cicé Blossac) -> Bruz (Bruz Centre)
Bruz (Bruz Centre) -> Noyal-Châtillon-sur-Seiche (Petite Saudrais)
Rennes (Clos Courtel) -> Rennes (République)
Betton (Champ Devant) -> Rennes (Place Hoche)
Rennes (Place Hoche) -> Betton (Champ Devant)
Rennes (Lycée Basch) -> Pacé -> Saint-Gilles (Ile des Bois)
L'Hermitage (L'Hermitage Centre) -> Rennes (République)
Rennes (République) -> Le Rheu -> Cintré (Chêne Vert)
Rennes (République) -> Mordelles (Mordelles Pâtis)
Rennes (République) -> Bruz (Bruz Centre)
Rennes (Villejean-Université) -> Gévezé (Cheval Blanc)
Acigné (Timonière) -> Rennes (Assomption)
Thorigné-Fouillard (Landelles) -> Rennes (Assomption)
Saint-Grégoire (Champ Daguet) -> Rennes (Clotilde Vautier)
Rennes (Villejean-Université) -> Rennes (Lycée St-Exupéry)
Rennes (Joliot-Curie) -> Cesson-Sévigné (Cormier)
Saint-Grégoire (MFR Rabinardières) -> Rennes (Gares)
Saint-Erblon (Champ Mulon) -> Rennes (Coubertin)
Rennes (Coubertin) -> Bourgbarré (Centre de Loisirs)
Cesson-Sévigné (Lycée Ozanam) -> Rennes (La Poterie)
Rennes (La Poterie) -> Cesson-Sévigné (Lycée Ozanam)
Thorigné-Fouillard (Portail) -> Cesson-Sévigné (Lycée Sévigné)
Bruz (Bruz Centre) -> Rennes (République)
Rennes (Henri Fréville) -> Noyal-Châtillon-sur-Seiche -> Saint-Erblon -> Bourgbarré (Centre de Loisirs)
Gévezé (Cheval Blanc) -> Rennes (Villejean-Université)
Rennes (République) -> Cesson-Sévigné (Champs Blancs)
Rennes (Plaine de Baud) -> Rennes (République)
Rennes (République) -> Rennes (ZA Saint-Sulpice)
Rennes (Cleunay) -> Rennes (Saint-Laurent)
Rennes (Saint-Saëns) -> Vezin-le-Coquet (ZI Ouest)
Rennes (Roazhon Park) -> Rennes (La Poterie)
Chantepie (Cucé) -> Rennes (Cleunay)
Saint-Jacques-de-la-Lande (Gautrais) -> Rennes (Henri Fréville)
Rennes (Clos Courtel) -> Rennes (Roazhon Park)
Rennes (Roazhon Park) -> Rennes (Clos Courtel)
Cesson-Sévigné (Base de Loisirs) -> Rennes (Villejean-Churchill)
Betton (Champ Devant) -> Rennes (Place Hoche) via Gentilhommière
Rennes (Place Hoche) -> Betton (Champ Devant) via Gentilhommière
Rennes (République) -> Vezin-le-Coquet -> L'Hermitage -> La Chapelle-Thouarault (Ville aux Archers) via CAT La Hautière
Le Rheu (L'Autre Lieu) -> Cintré (Chêne Vert)
Le Verger (Le Verger Eglise) -> Mordelles -> Rennes (Charles de Gaulle)
Rennes (République) -> Saint-Jacques-de-la-Lande -> Bruz (Lavoisier)
Rennes (Gares) -> Cesson-Sévigné (Champs Blancs)
Rennes (République) -> Rennes (Joliot-Curie)
Thorigné-Fouillard (Landelles) -> Rennes (République) via Placis Vert
Cesson-Sévigné (Monniais) -> Cesson-Sévigné (Ménouriais)
Cesson-Sévigné (Ménouriais) -> Cesson-Sévigné (Monniais)
Rennes (République) -> Rennes (Clos Courtel)
Bruz (Lavoisier) -> Saint-Jacques-de-la-Lande -> Rennes (République)
Bruz (Bruz Centre) -> Saint-Jacques-de-la-Lande -> Rennes (République)
Rennes (Henri Fréville) -> Noyal-Châtillon-sur-Seiche -> Saint-Erblon (Parc d'Activités)
Rennes (La Poterie) -> Vern-sur-Seiche -> Nouvoitou -> Saint-Armel -> Corps-Nuds (Corps-Nuds Gare)
Bruz (Pont-Réan) -> Rennes (Gares)
Noyal-Châtillon-sur-Seiche (Janais) -> Rennes (Gares)
Rennes (Lycée Basch) -> Rennes (Villejean-Université)
Brécé (Anjou) -> Rennes (République) via Cesson Gare
Rennes (République) -> Brécé (Anjou)
Rennes (République) -> Cesson-Sévigné (Rigourdière)
Rennes (République) -> Chartres-de-Bretagne -> Pont-Péan -> Laillé (Gingouillère)
Rennes (Henri Fréville) -> Chartres-de-Bretagne -> Pont-Péan (Bois Esnault)
Rennes (Coubertin) -> Rennes (Henri Fréville)
Pont-Péan (Bois Esnault) -> Chartres-de-Bretagne -> Rennes (Henri Fréville)
Pont-Péan (Bois Esnault) -> Chartres-de-Bretagne -> Rennes (Henri Fréville) via Touche Tizon et Mivoie
Laillé (Gingouillère) -> Pont-Péan -> Chartres-de-Bretagne -> Rennes (Henri Fréville)
