Ligne (nom court),Libellé long,Point d'arrêt de départ (nom)
91,Bruz (Cicé Blossac) -> Bruz (Bruz Centre),Cicé Blossac
91,Bruz (Bruz Centre) -> Noyal-Châtillon-sur-Seiche (Petite Saudrais),Bruz Centre
N1,Rennes (Clos Courtel) -> Rennes (République),Clos Courtel
151ex,Betton (Champ Devant) -> Rennes (Place Hoche),Champ Devant
151ex,Rennes (Place Hoche) -> Betton (Champ Devant),Hoche
152ex,Rennes (Lycée Basch) -> Pacé -> Saint-Gilles (Ile des Bois),Lycée Basch
153ex,L'Hermitage (L'Hermitage Centre) -> Rennes (République),L'Hermitage Centre
154ex,Rennes (République) -> Le Rheu -> Cintré (Chêne Vert),République
155ex,Rennes (République) -> Mordelles (Mordelles Pâtis),République
157ex,Rennes (République) -> Bruz (Bruz Centre),République
168ex,Rennes (Villejean-Université) -> Gévezé (Cheval Blanc),Villejean-Université
200,Acigné (Timonière) -> Rennes (Assomption),Timonière
201,Thorigné-Fouillard (Landelles) -> Rennes (Assomption),Landelles
204,Saint-Grégoire (Champ Daguet) -> Rennes (Clotilde Vautier),Champ Daguet
205,Rennes (Villejean-Université) -> Rennes (Lycée St-Exupéry),Villejean-Université
206,Rennes (Joliot-Curie) -> Cesson-Sévigné (Cormier),Joliot-Curie
208,Saint-Grégoire (MFR Rabinardières) -> Rennes (Gares),MFR Rabinardières
212,Saint-Erblon (Champ Mulon) -> Rennes (Coubertin),Champ Mulon
213,Rennes (Coubertin) -> Bourgbarré (Centre de Loisirs),Coubertin
214,Cesson-Sévigné (Lycée Ozanam) -> Rennes (La Poterie),Saint-Etienne
214,Rennes (La Poterie) -> Cesson-Sévigné (Lycée Ozanam),La Poterie
221,Thorigné-Fouillard (Portail) -> Cesson-Sévigné (Lycée Sévigné),Portail
157ex,Bruz (Bruz Centre) -> Rennes (République),Bruz Centre
161ex,Rennes (Henri Fréville) -> Noyal-Châtillon-sur-Seiche -> Saint-Erblon -> Bourgbarré (Centre de Loisirs),Henri Fréville
168ex,Gévezé (Cheval Blanc) -> Rennes (Villejean-Université),Cheval Blanc
C1,Rennes (République) -> Cesson-Sévigné (Champs Blancs),République
C4,Rennes (Plaine de Baud) -> Rennes (République),Plaine de Baud
C4,Rennes (République) -> Rennes (ZA Saint-Sulpice),République
9,Rennes (Cleunay) -> Rennes (Saint-Laurent),Cleunay
11,Rennes (Saint-Saëns) -> Vezin-le-Coquet (ZI Ouest),Saint-Saëns
11,Rennes (Roazhon Park) -> Rennes (La Poterie),Roazhon Park
13,Chantepie (Cucé) -> Rennes (Cleunay),Cucé
13,Saint-Jacques-de-la-Lande (Gautrais) -> Rennes (Henri Fréville),Gautrais
14,Rennes (Clos Courtel) -> Rennes (Roazhon Park),Clos Courtel
14,Rennes (Roazhon Park) -> Rennes (Clos Courtel),Stade Rennais
31,Cesson-Sévigné (Base de Loisirs) -> Rennes (Villejean-Churchill),Base de Loisirs
51,Betton (Champ Devant) -> Rennes (Place Hoche) via Gentilhommière,Champ Devant
51,Rennes (Place Hoche) -> Betton (Champ Devant) via Gentilhommière,Hoche
53,Rennes (République) -> Vezin-le-Coquet -> L'Hermitage -> La Chapelle-Thouarault (Ville aux Archers) via CAT La Hautière,République Pré Botté
54,Le Rheu (L'Autre Lieu) -> Cintré (Chêne Vert),Brassens
55,Le Verger (Le Verger Eglise) -> Mordelles -> Rennes (Charles de Gaulle),Le Verger Eglise
57,Rennes (République) -> Saint-Jacques-de-la-Lande -> Bruz (Lavoisier),République
41ex,Rennes (Gares) -> Cesson-Sévigné (Champs Blancs),Gares
44,Rennes (République) -> Rennes (Joliot-Curie),République
50,Thorigné-Fouillard (Landelles) -> Rennes (République) via Placis Vert,Landelles
38,Cesson-Sévigné (Monniais) -> Cesson-Sévigné (Ménouriais),Monniais
38,Cesson-Sévigné (Ménouriais) -> Cesson-Sévigné (Monniais),Ménouriais
40ex,Rennes (République) -> Rennes (Clos Courtel),République
57,Bruz (Lavoisier) -> Saint-Jacques-de-la-Lande -> Rennes (République),Lavoisier
57,Bruz (Bruz Centre) -> Saint-Jacques-de-la-Lande -> Rennes (République),Bruz Centre
61,Rennes (Henri Fréville) -> Noyal-Châtillon-sur-Seiche -> Saint-Erblon (Parc d'Activités),Henri Fréville
62,Rennes (La Poterie) -> Vern-sur-Seiche -> Nouvoitou -> Saint-Armel -> Corps-Nuds (Corps-Nuds Gare),
63,Bruz (Pont-Réan) -> Rennes (Gares),Pont-Réan
63,Noyal-Châtillon-sur-Seiche (Janais) -> Rennes (Gares),Janais
65,Rennes (Lycée Basch) -> Rennes (Villejean-Université),Lycée Basch
67,Brécé (Anjou) -> Rennes (République) via Cesson Gare,Anjou
67,Rennes (République) -> Brécé (Anjou),République
67,Rennes (République) -> Cesson-Sévigné (Rigourdière),République
72,Rennes (République) -> Chartres-de-Bretagne -> Pont-Péan -> Laillé (Gingouillère),République
72,Rennes (Henri Fréville) -> Chartres-de-Bretagne -> Pont-Péan (Bois Esnault),Henri Fréville
72,Rennes (Coubertin) -> Rennes (Henri Fréville),Coubertin
72,Pont-Péan (Bois Esnault) -> Chartres-de-Bretagne -> Rennes (Henri Fréville),Bois Esnault
72,Pont-Péan (Bois Esnault) -> Chartres-de-Bretagne -> Rennes (Henri Fréville) via Touche Tizon et Mivoie,Bois Esnault
72,Laillé (Gingouillère) -> Pont-Péan -> Chartres-de-Bretagne -> Rennes (Henri Fréville),Gingouillère
74,Rennes (Henri Fréville) -> Orgères -> Bourgbarré (Centre de Loisirs),Henri Fréville
74,Rennes (Henri Fréville) -> Orgères -> Bourgbarré (Moc Souris),Henri Fréville
74,Orgères (Ormes Blanches) -> Rennes (Henri Fréville),Ormes Blanches
74,Bourgbarré (Sept Fours) -> Orgères (Surcouf),Sept Fours
75,Nouvoitou (Parc des Sports) -> Vern-sur-Seiche (La Poste),Parc des Sports
75,Nouvoitou (Crotigné) -> Nouvoitou (Langlois),Crotigné
75,Rennes (La Poterie) -> Nouvoitou (L'Ourmais),La Poterie
77,Rennes (Villejean-Université) -> Pacé (Pâtis Roussel) via Rive Ouest,Villejean-Université
77,Pacé (Pâtis Roussel) -> Rennes (Villejean-Université),Pâtis Roussel
79,Rennes (Henri Fréville) -> Pont-Péan -> Laillé (Gingouillère),Henri Fréville
81,Rennes (Villejean-Université) -> Pacé -> Saint-Gilles -> Clayes -> Romillé (Romillé Collège) via Ile des Bois,Villejean-Université
82,Rennes (Villejean-Université) -> Romillé -> Langan -> La Chapelle-Chaussée -> Bécherel -> Miniac-sous-Bécherel (Miniac Eglise),Villejean-Université
91,Bruz (Cicé Blossac) -> Chartres-de-Bretagne (Collège Pôle Sud),Cicé Blossac
91,Bruz (Pont-Réan) -> Chartres-de-Bretagne -> Noyal-Châtillon-sur-Seiche (Petite Saudrais),Pont-Réan
161ex,Bourgbarré (Centre de Loisirs) -> Saint-Erblon -> Noyal-Châtillon-sur-Seiche -> Rennes (Coubertin),Centre de Loisirs
N2,Rennes (République) -> Rennes (Gayeulles),République
153ex,Rennes (République Pré Botté) -> L'Hermitage (L'Hermitage Centre),République Pré Botté
77,Pacé (Pâtis Roussel) -> Rennes (Villejean-Université) via Rive Ouest,Pâtis Roussel
N2,Rennes (Gayeulles) -> Rennes (Painlevé),Gayeulles
N2,Rennes (La Poterie) -> Rennes (Gayeulles),La Poterie
231,Bruz (Anita Conti) -> Pont-Péan -> Laillé (Gingouillère) via Aire du 8 Mai,Anita Conti
231,Pont-Péan (Mouton Blanc) -> Bruz (Anita Conti),Mouton Blanc
231,Laillé (Gingouillère) -> Pont-Péan -> Bruz (Anita Conti),Gingouillère
